SP_ENTITY_NAME,SP_ENTITY_ID,RD_CREDIT_RATING_GLOBAL,RD_CREDIT_RATING_GLOBAL.1,SP_TICKER,SP_EXCHANGE,SP_ISIN,SP_GEOGRAPHY,SP_COUNTRY_NAME,SP_COUNTRY_CODE,IQ_INDUSTRY_GROUP
Cabot Corporation (NYSE:CBT),4001703,BBB,BBB,CBT,NYSE,US1270551013,United States and Canada,USA,US,Materials
CACI International Inc (NYSE:CACI),4200091,BB+,BB+,CACI,NYSE,US1271903049,United States and Canada,USA,US,Commercial and Professional Services
Cadence Bank (NYSE:CADE),1011415,BBB+,BBB+,CADE,NYSE,US12740C1036,United States and Canada,USA,US,Banks
"Cadence Design Systems, Inc. (NASDAQGS:CDNS)",4963284,BBB+,BBB+,CDNS,NASDAQGS,US1273871087,United States and Canada,USA,US,Software and Services
"Caesars Entertainment, Inc. (NASDAQGS:CZR)",4512023,B+,B+,CZR,NASDAQGS,US12769G1004,United States and Canada,USA,US,Consumer Services
"Caleres, Inc. (NYSE:CAL)",4294958,BB-,BB-,CAL,NYSE,US1295001044,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
California Resources Corporation (NYSE:CRC),4587597,B+,B+,CRC,NYSE,US13057Q3056,United States and Canada,USA,US,Energy
Callon Petroleum Company (NYSE:CPE),4010473,B+,B+,CPE,NYSE,US13123X5086,United States and Canada,USA,US,Energy
"Calumet Specialty Products Partners, L.P. (NASDAQGS:CLMT)",4109349,B-,B-,CLMT,NASDAQGS,US1314761032,United States and Canada,USA,US,Energy
Camden Property Trust (NYSE:CPT),103094,A-,A-,CPT,NYSE,US1331311027,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
Campbell Soup Company (NYSE:CPB),4133211,BBB-,BBB-,CPB,NYSE,US1344291091,United States and Canada,USA,US,"Food, Beverage and Tobacco"
Capital One Financial Corporation (NYSE:COF),103239,BBB,BBB,COF,NYSE,US14040H1059,United States and Canada,USA,US,Financial Services
"Cardinal Health, Inc. (NYSE:CAH)",4073203,BBB,BBB,CAH,NYSE,US14149Y1082,United States and Canada,USA,US,Health Care Equipment and Services
"CareTrust REIT, Inc. (NYSE:CTRE)",4531073,BB,BB,CTRE,NYSE,US14174T1079,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
Carlisle Companies Incorporated (NYSE:CSL),4987870,BBB,BBB,CSL,NYSE,US1423391002,United States and Canada,USA,US,Capital Goods
Carpenter Technology Corporation (NYSE:CRS),4004423,BB,BB,CRS,NYSE,US1442851036,United States and Canada,USA,US,Materials
"Carriage Services, Inc. (NYSE:CSV)",4338125,B,B,CSV,NYSE,US1439051079,United States and Canada,USA,US,Consumer Services
Carrier Global Corporation (NYSE:CARR),4158618,BBB,BBB,CARR,NYSE,US14448C1045,United States and Canada,USA,US,Capital Goods
"Carrols Restaurant Group, Inc. (NASDAQGS:TAST)",4913046,B-,B-,TAST,NASDAQGS,US14574X1046,United States and Canada,USA,US,Consumer Services
Cars.com Inc. (NYSE:CARS),4206401,BB-,BB-,CARS,NYSE,US14575E1055,United States and Canada,USA,US,Media and Entertainment
"Carter's, Inc. (NYSE:CRI)",4436011,BB+,BB+,CRI,NYSE,US1462291097,United States and Canada,USA,US,Consumer Durables and Apparel
Carvana Co. (NYSE:CVNA),6676338,CCC+,CCC+,CVNA,NYSE,US1468691027,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"Casa Systems, Inc. (NASDAQGS:CASA)",6356045,CCC+,CCC+,CASA,NASDAQGS,US14713L1026,United States and Canada,USA,US,Technology Hardware and Equipment
"Casella Waste Systems, Inc. (NASDAQGS:CWST)",4088041,BB,BB,CWST,NASDAQGS,US1474481041,United States and Canada,USA,US,Commercial and Professional Services
"Catalent, Inc. (NYSE:CTLT)",4338031,B+,B+,CTLT,NYSE,US1488061029,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Caterpillar Inc. (NYSE:CAT),114523,A,A,CAT,NYSE,US1491231015,United States and Canada,USA,US,Capital Goods
"CBL & Associates Properties, Inc. (NYSE:CBL)",103092,B,B,CBL,NYSE,US1248308785,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"CBRE Group, Inc. (NYSE:CBRE)",4025774,BBB+,BBB+,CBRE,NYSE,US12504L1098,United States and Canada,USA,US,Real Estate Management and Development
CCC Intelligent Solutions Holdings Inc. (NASDAQGS:CCCS),4426762,B+,B+,CCCS,NASDAQGS,US12510Q1004,United States and Canada,USA,US,Software and Services
CDW Corporation (NASDAQGS:CDW),4114659,BBB-,BBB-,CDW,NASDAQGS,US12514G1085,United States and Canada,USA,US,Technology Hardware and Equipment
"Cedar Fair, L.P. (NYSE:FUN)",4121677,BB-,BB-,FUN,NYSE,US1501851067,United States and Canada,USA,US,Consumer Services
Celanese Corporation (NYSE:CE),4103411,BBB-,BBB-,CE,NYSE,US1508701034,United States and Canada,USA,US,Materials
"Cencora, Inc. (NYSE:COR)",4022647,BBB+,BBB+,COR,NYSE,US03073E1055,United States and Canada,USA,US,Health Care Equipment and Services
Centene Corporation (NYSE:CNC),4022661,,BBB-,CNC,NYSE,US15135B1017,United States and Canada,USA,US,Health Care Equipment and Services
"CenterPoint Energy, Inc. (NYSE:CNP)",4074390,BBB+,BBB+,CNP,NYSE,US15189T1079,United States and Canada,USA,US,Utilities
Central Garden & Pet Company (NASDAQGS:CENT),4067529,BB,BB,CENT,NASDAQGS,US1535271068,United States and Canada,USA,US,Household and Personal Products
Century Aluminum Company (NASDAQGS:CENX),4210228,B-,B-,CENX,NASDAQGS,US1564311082,United States and Canada,USA,US,Materials
"Century Casinos, Inc. (NASDAQCM:CNTY)",4107859,B,B,CNTY,NASDAQCM,US1564921005,United States and Canada,USA,US,Consumer Services
"Century Communities, Inc. (NYSE:CCS)",4535992,BB,BB,CCS,NYSE,US1565043007,United States and Canada,USA,US,Consumer Durables and Apparel
"CF Industries Holdings, Inc. (NYSE:CF)",4533245,BBB,BBB,CF,NYSE,US1252691001,United States and Canada,USA,US,Materials
ChampionX Corporation (NASDAQGS:CHX),10340400,BB+,BB+,CHX,NASDAQGS,US15872M1045,United States and Canada,USA,US,Energy
"Charles River Laboratories International, Inc. (NYSE:CRL)",4388431,BB+,BB+,CRL,NYSE,US1598641074,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
"Chart Industries, Inc. (NYSE:GTLS)",4295886,B+,B+,GTLS,NYSE,US16115Q3083,United States and Canada,USA,US,Capital Goods
"Charter Communications, Inc. (NASDAQGS:CHTR)",4121481,BB+,BB+,CHTR,NASDAQGS,US16119P1084,United States and Canada,USA,US,Media and Entertainment
"Cheniere Energy Partners, L.P. (NYSE:CQP)",4149886,BBB,BBB,CQP,NYSE,US16411Q1013,United States and Canada,USA,US,Energy
"Cheniere Energy, Inc. (NYSE:LNG)",4100855,BBB,BBB,LNG,NYSE,US16411R2085,United States and Canada,USA,US,Energy
Chesapeake Energy Corporation (NASDAQGS:CHK),4010492,BB,BB,CHK,NASDAQGS,US1651677353,United States and Canada,USA,US,Energy
Chevron Corporation (NYSE:CVX),4004170,AA-,AA-,CVX,NYSE,US1667641005,United States and Canada,USA,US,Energy
"Choice Hotels International, Inc. (NYSE:CHH)",4046290,BBB-,BBB-,CHH,NYSE,US1699051066,United States and Canada,USA,US,Consumer Services
Chord Energy Corporation (NASDAQGS:CHRD),4279207,BB-,BB-,CHRD,NASDAQGS,US6742152076,United States and Canada,USA,US,Energy
"Church & Dwight Co., Inc. (NYSE:CHD)",4438978,BBB+,BBB+,CHD,NYSE,US1713401024,United States and Canada,USA,US,Household and Personal Products
Churchill Downs Incorporated (NASDAQGS:CHDN),4150067,BB,BB,CHDN,NASDAQGS,US1714841087,United States and Canada,USA,US,Consumer Services
Ciena Corporation (NYSE:CIEN),4067589,BB+,BB+,CIEN,NYSE,US1717793095,United States and Canada,USA,US,Technology Hardware and Equipment
Cincinnati Financial Corporation (NASDAQGS:CINF),103262,,BBB+,CINF,NASDAQGS,US1720621010,United States and Canada,USA,US,Insurance
"Cinemark Holdings, Inc. (NYSE:CNK)",4152750,BB-,BB-,CNK,NYSE,US17243V1026,United States and Canada,USA,US,Media and Entertainment
Cintas Corporation (NASDAQGS:CTAS),4008247,A-,A-,CTAS,NASDAQGS,US1729081059,United States and Canada,USA,US,Commercial and Professional Services
"Cisco Systems, Inc. (NASDAQGS:CSCO)",4047857,AA-,AA-,CSCO,NASDAQGS,US17275R1023,United States and Canada,USA,US,Technology Hardware and Equipment
Citigroup Inc. (NYSE:C),4041896,BBB+,BBB+,C,NYSE,US1729674242,United States and Canada,USA,US,Banks
"Citizens Financial Group, Inc. (NYSE:CFG)",1019881,BBB+,BBB+,CFG,NYSE,US1746101054,United States and Canada,USA,US,Banks
Civeo Corporation (NYSE:CVEO),4550297,B+,B+,CVEO,NYSE,CA17878Y2078,United States and Canada,USA,US,Commercial and Professional Services
"Civitas Resources, Inc. (NYSE:CIVI)",4659456,BB-,BB-,CIVI,NYSE,US17888H1032,United States and Canada,USA,US,Energy
"Claros Mortgage Trust, Inc. (NYSE:CMTG)",12744921,B,B,CMTG,NYSE,US18270D1063,United States and Canada,USA,US,Financial Services
"Clean Harbors, Inc. (NYSE:CLH)",4100570,BB+,BB+,CLH,NYSE,US1844961078,United States and Canada,USA,US,Commercial and Professional Services
"Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",4121662,CCC+,CCC+,CCO,NYSE,US18453H1068,United States and Canada,USA,US,Media and Entertainment
Clearwater Paper Corporation (NYSE:CLW),4249410,BB-,BB-,CLW,NYSE,US18538R1032,United States and Canada,USA,US,Materials
"Clearway Energy, Inc. (NYSE:CWEN.A)",4393379,BB,BB,CWENA,NYSE,US18539C1053,United States and Canada,USA,US,Utilities
Cleveland-Cliffs Inc. (NYSE:CLF),4059268,BB-,BB-,CLF,NYSE,US1858991011,United States and Canada,USA,US,Materials
CME Group Inc. (NASDAQGS:CME),4054016,AA-,AA-,CME,NASDAQGS,US12572Q1058,United States and Canada,USA,US,Financial Services
CMS Energy Corporation (NYSE:CMS),4004172,BBB+,BBB+,CMS,NYSE,US1258961002,United States and Canada,USA,US,Utilities
CNA Financial Corporation (NYSE:CNA),103343,,A-,CNA,NYSE,US1261171003,United States and Canada,USA,US,Insurance
"CNO Financial Group, Inc. (NYSE:CNO)",4089422,,BBB-,CNO,NYSE,US12621E1038,United States and Canada,USA,US,Insurance
CNX Resources Corporation (NYSE:CNX),4072680,BB,BB,CNX,NYSE,US12653C1080,United States and Canada,USA,US,Energy
"Coca-Cola Consolidated, Inc. (NASDAQGS:COKE)",4912069,BBB+,BBB+,COKE,NASDAQGS,US1910981026,United States and Canada,USA,US,"Food, Beverage and Tobacco"
"Coeur Mining, Inc. (NYSE:CDE)",4349317,B-,B-,CDE,NYSE,US1921085049,United States and Canada,USA,US,Materials
Coherent Corp. (NYSE:COHR),4964205,BB-,BB-,COHR,NYSE,US19247G1076,United States and Canada,USA,US,Technology Hardware and Equipment
"Cohu, Inc. (NASDAQGS:COHU)",4655036,BB-,BB-,COHU,NASDAQGS,US1925761066,United States and Canada,USA,US,Semiconductors and Semiconductor Equipment
"Coinbase Global, Inc. (NASDAQGS:COIN)",12805289,BB-,BB-,COIN,NASDAQGS,US19260Q1076,United States and Canada,USA,US,Financial Services
Colgate-Palmolive Company (NYSE:CL),4004173,AA-,AA-,CL,NYSE,US1941621039,United States and Canada,USA,US,Household and Personal Products
"Columbia Banking System, Inc. (NASDAQGS:COLB)",4047103,BBB-,BBB-,COLB,NASDAQGS,US1972361026,United States and Canada,USA,US,Banks
Columbus McKinnon Corporation (NASDAQGS:CMCO),4992112,B+,B+,CMCO,NASDAQGS,US1993331057,United States and Canada,USA,US,Capital Goods
Comcast Corporation (NASDAQGS:CMCSA),4057180,A-,A-,CMCSA,NASDAQGS,US20030N1019,United States and Canada,USA,US,Media and Entertainment
Comerica Incorporated (NYSE:CMA),100206,BBB,BBB,CMA,NYSE,US2003401070,United States and Canada,USA,US,Banks
"Commerce Bancshares, Inc. (NASDAQGS:CBSH)",100184,A-,A-,CBSH,NASDAQGS,US2005251036,United States and Canada,USA,US,Banks
Commercial Metals Company (NYSE:CMC),4743346,BB+,BB+,CMC,NYSE,US2017231034,United States and Canada,USA,US,Materials
"Commercial Vehicle Group, Inc. (NASDAQGS:CVGI)",4327451,B,B,CVGI,NASDAQGS,US2026081057,United States and Canada,USA,US,Capital Goods
"CommScope Holding Company, Inc. (NASDAQGS:COMM)",4963310,CCC,CCC,COMM,NASDAQGS,US20337X1090,United States and Canada,USA,US,Technology Hardware and Equipment
"Community Health Systems, Inc. (NYSE:CYH)",4561135,CCC+,CCC+,CYH,NYSE,US2036681086,United States and Canada,USA,US,Health Care Equipment and Services
"Compass Minerals International, Inc. (NYSE:CMP)",4349405,BB-,BB-,CMP,NYSE,US20451N1019,United States and Canada,USA,US,Materials
"Comstock Resources, Inc. (NYSE:CRK)",11028051,B+,B+,CRK,NYSE,US2057683029,United States and Canada,USA,US,Energy
"Conagra Brands, Inc. (NYSE:CAG)",4101861,BBB-,BBB-,CAG,NYSE,US2058871029,United States and Canada,USA,US,"Food, Beverage and Tobacco"
Concentrix Corporation (NASDAQGS:CNXC),4149372,BBB,BBB,CNXC,NASDAQGS,US20602D1019,United States and Canada,USA,US,Commercial and Professional Services
"Concrete Pumping Holdings, Inc. (NASDAQCM:BBCP)",11122847,B,B,BBCP,NASDAQCM,US2067041085,United States and Canada,USA,US,Capital Goods
Conduent Incorporated (NASDAQGS:CNDT),4973290,B+,B+,CNDT,NASDAQGS,US2067871036,United States and Canada,USA,US,Commercial and Professional Services
ConocoPhillips (NYSE:COP),4980342,A-,A-,COP,NYSE,US20825C1045,United States and Canada,USA,US,Energy
"Consensus Cloud Solutions, Inc. (NASDAQGS:CCSI)",29626858,B+,B+,CCSI,NASDAQGS,US20848V1052,United States and Canada,USA,US,Software and Services
CONSOL Energy Inc. (NYSE:CEIX),8743250,B+,B+,CEIX,NYSE,US20854L1089,United States and Canada,USA,US,Energy
"Consolidated Communications Holdings, Inc. (NASDAQGS:CNSL)",4121419,B-,B-,CNSL,NASDAQGS,US2090341072,United States and Canada,USA,US,Telecommunication Services
"Consolidated Edison, Inc. (NYSE:ED)",4057041,A-,A-,ED,NYSE,US2091151041,United States and Canada,USA,US,Utilities
"Constellation Brands, Inc. (NYSE:STZ)",4276708,BBB,BBB,STZ,NYSE,US21036P1084,United States and Canada,USA,US,"Food, Beverage and Tobacco"
Cooper-Standard Holdings Inc. (NYSE:CPS),4916951,CCC+,CCC+,CPS,NYSE,US21676P1030,United States and Canada,USA,US,Automobiles and Components
COPT Defense Properties (NYSE:CDP),103010,BBB-,BBB-,CDP,NYSE,US22002T1088,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"Corebridge Financial, Inc. (NYSE:CRBG)",102701,,BBB+,CRBG,NYSE,US21871X1090,United States and Canada,USA,US,Financial Services
"CoreCivic, Inc. (NYSE:CXW)",4056502,BB-,BB-,CXW,NYSE,US21871N1019,United States and Canada,USA,US,Commercial and Professional Services
Corning Incorporated (NYSE:GLW),4004201,BBB+,BBB+,GLW,NYSE,US2193501051,United States and Canada,USA,US,Technology Hardware and Equipment
"Corsair Gaming, Inc. (NASDAQGS:CRSR)",5196215,BB-,BB-,CRSR,NASDAQGS,US22041X1028,United States and Canada,USA,US,Technology Hardware and Equipment
"Corteva, Inc. (NYSE:CTVA)",14170965,A-,A-,CTVA,NYSE,US22052L1044,United States and Canada,USA,US,Materials
"CoStar Group, Inc. (NASDAQGS:CSGP)",4094053,BB+,BB+,CSGP,NASDAQGS,US22160N1090,United States and Canada,USA,US,Real Estate Management and Development
Costco Wholesale Corporation (NASDAQGS:COST),4126080,A+,A+,COST,NASDAQGS,US22160K1051,United States and Canada,USA,US,Consumer Staples Distribution and Retail
Coterra Energy Inc. (NYSE:CTRA),4010469,BBB,BBB,CTRA,NYSE,US1270971039,United States and Canada,USA,US,Energy
Coty Inc. (NYSE:COTY),4067766,BB,BB,COTY,NYSE,US2220702037,United States and Canada,USA,US,Household and Personal Products
CPI Card Group Inc. (NASDAQGM:PMTS),4330650,B,B,PMTS,NASDAQGM,US12634H2004,United States and Canada,USA,US,Technology Hardware and Equipment
"Crane NXT, Co. (NYSE:CXT)",110366008,BB+,BB+,CXT,NYSE,US2244411052,United States and Canada,USA,US,Technology Hardware and Equipment
Credit Acceptance Corporation (NASDAQGS:CACC),102852,BB,BB,CACC,NASDAQGS,US2253101016,United States and Canada,USA,US,Financial Services
Crescent Energy Company (NYSE:CRGY),10655322,B+,B+,CRGY,NYSE,US44952J1043,United States and Canada,USA,US,Energy
"Crocs, Inc. (NASDAQGS:CROX)",4155562,BB-,BB-,CROX,NASDAQGS,US2270461096,United States and Canada,USA,US,Consumer Durables and Apparel
"CrowdStrike Holdings, Inc. (NASDAQGS:CRWD)",12917530,BB+,BB+,CRWD,NASDAQGS,US22788C1053,United States and Canada,USA,US,Software and Services
Crown Castle Inc. (NYSE:CCI),4417219,BBB,BBB,CCI,NYSE,US22822V1017,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"Crown Holdings, Inc. (NYSE:CCK)",4419522,BB+,BB+,CCK,NYSE,US2283681060,United States and Canada,USA,US,Materials
"CSG Systems International, Inc. (NASDAQGS:CSGS)",4090254,BB+,BB+,CSGS,NASDAQGS,US1263491094,United States and Canada,USA,US,Commercial and Professional Services
CSI Compressco LP (NASDAQGS:CCLP),4980244,B-,B-,CCLP,NASDAQGS,US12637A1034,United States and Canada,USA,US,Energy
CSX Corporation (NASDAQGS:CSX),4004350,BBB+,BBB+,CSX,NASDAQGS,US1264081035,United States and Canada,USA,US,Transportation
CubeSmart (NYSE:CUBE),4095755,BBB,BBB,CUBE,NYSE,US2296631094,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"Cullen/Frost Bankers, Inc. (NYSE:CFR)",100196,A-,A-,CFR,NYSE,US2298991090,United States and Canada,USA,US,Banks
Cummins Inc. (NYSE:CMI),4074303,A,A,CMI,NYSE,US2310211063,United States and Canada,USA,US,Capital Goods
Cumulus Media Inc. (NASDAQGM:CMLS),4121694,B-,B-,CMLS,NASDAQGM,US2310828015,United States and Canada,USA,US,Media and Entertainment
CURO Group Holdings Corp. (NYSE:CURO),7105241,CCC-,CCC-,CURO,NYSE,US23131L1070,United States and Canada,USA,US,Financial Services
"Custom Truck One Source, Inc. (NYSE:CTOS)",14836300,B,B,CTOS,NYSE,US23204X1037,United States and Canada,USA,US,Capital Goods
"CVR Energy, Inc. (NYSE:CVI)",4203682,B+,B+,CVI,NYSE,US12662P1084,United States and Canada,USA,US,Energy
"CVR Partners, LP (NYSE:UAN)",4980751,B+,B+,UAN,NYSE,US1266332055,United States and Canada,USA,US,Materials
CVS Health Corporation (NYSE:CVS),4206348,BBB,BBB,CVS,NYSE,US1266501006,United States and Canada,USA,US,Health Care Equipment and Services
"D.R. Horton, Inc. (NYSE:DHI)",4049266,BBB+,BBB+,DHI,NYSE,US23331A1097,United States and Canada,USA,US,Consumer Durables and Apparel
Dana Incorporated (NYSE:DAN),3009591,BB-,BB-,DAN,NYSE,US2358252052,United States and Canada,USA,US,Automobiles and Components
Danaher Corporation (NYSE:DHR),4810677,A-,A-,DHR,NYSE,US2358511028,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
"Darden Restaurants, Inc. (NYSE:DRI)",4297825,BBB,BBB,DRI,NYSE,US2371941053,United States and Canada,USA,US,Consumer Services
Darling Ingredients Inc. (NYSE:DAR),4915094,BB+,BB+,DAR,NYSE,US2372661015,United States and Canada,USA,US,"Food, Beverage and Tobacco"
"Daseke, Inc. (NASDAQCM:DSKE)",6636503,B+,B+,DSKE,NASDAQCM,US23753F1075,United States and Canada,USA,US,Transportation
DaVita Inc. (NYSE:DVA),4189919,BB,BB,DVA,NYSE,US23918K1088,United States and Canada,USA,US,Health Care Equipment and Services
Dayforce Inc. (NYSE:DAY),6546101,B+,B+,DAY,NYSE,US15677J1088,United States and Canada,USA,US,Commercial and Professional Services
Deere & Company (NYSE:DE),114526,A,A,DE,NYSE,US2441991054,United States and Canada,USA,US,Capital Goods
"Delek Logistics Partners, LP (NYSE:DKL)",4566764,BB-,BB-,DKL,NYSE,US24664T1034,United States and Canada,USA,US,Energy
"Delek US Holdings, Inc. (NYSE:DK)",4122365,BB-,BB-,DK,NYSE,US24665A1034,United States and Canada,USA,US,Energy
Dell Technologies Inc. (NYSE:DELL),4625099,BBB,BBB,DELL,NYSE,US24703L2025,United States and Canada,USA,US,Technology Hardware and Equipment
"Delta Air Lines, Inc. (NYSE:DAL)",4004278,BB+,BB+,DAL,NYSE,US2473617023,United States and Canada,USA,US,Transportation
Deluxe Corporation (NYSE:DLX),4006858,B,B,DLX,NYSE,US2480191012,United States and Canada,USA,US,Commercial and Professional Services
DENTSPLY SIRONA Inc. (NASDAQGS:XRAY),4813221,BBB,BBB,XRAY,NASDAQGS,US24906P1093,United States and Canada,USA,US,Health Care Equipment and Services
Devon Energy Corporation (NYSE:DVN),4010561,BBB,BBB,DVN,NYSE,US25179M1036,United States and Canada,USA,US,Energy
"Diamond Offshore Drilling, Inc. (NYSE:DO)",4010562,B,B,DO,NYSE,US25271C2017,United States and Canada,USA,US,Energy
"Diamondback Energy, Inc. (NASDAQGS:FANG)",4337452,BBB-,BBB-,FANG,NASDAQGS,US25278X1090,United States and Canada,USA,US,Energy
"DICK'S Sporting Goods, Inc. (NYSE:DKS)",4193280,BBB,BBB,DKS,NYSE,US2533931026,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"Diebold Nixdorf, Incorporated (NYSE:DBD)",4094000,B,B,DBD,NYSE,US2536512021,United States and Canada,USA,US,Technology Hardware and Equipment
"Digital Realty Trust, Inc. (NYSE:DLR)",4094311,BBB,BBB,DLR,NYSE,US2538681030,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"Dillard's, Inc. (NYSE:DDS)",4094381,BB+,BB+,DDS,NYSE,US2540671011,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
Discover Financial Services (NYSE:DFS),4096334,BBB-,BBB-,DFS,NYSE,US2547091080,United States and Canada,USA,US,Financial Services
Diversified Healthcare Trust (NASDAQGS:DHC),4045490,CCC+,CCC+,DHC,NASDAQGS,US25525P1075,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
Dollar General Corporation (NYSE:DG),4022058,BBB,BBB,DG,NYSE,US2566771059,United States and Canada,USA,US,Consumer Staples Distribution and Retail
"Dollar Tree, Inc. (NASDAQGS:DLTR)",4911259,BBB,BBB,DLTR,NASDAQGS,US2567461080,United States and Canada,USA,US,Consumer Staples Distribution and Retail
"Dominion Energy, Inc. (NYSE:D)",4001616,BBB+,BBB+,D,NYSE,US25746U1097,United States and Canada,USA,US,Utilities
Dover Corporation (NYSE:DOV),4068060,BBB+,BBB+,DOV,NYSE,US2600031080,United States and Canada,USA,US,Capital Goods
"Dream Finders Homes, Inc. (NYSE:DFH)",6566086,BB-,BB-,DFH,NYSE,US26154D1000,United States and Canada,USA,US,Consumer Durables and Apparel
Driven Brands Holdings Inc. (NASDAQGS:DRVN),27430291,B+,B+,DRVN,NASDAQGS,US26210V1026,United States and Canada,USA,US,Commercial and Professional Services
"DT Midstream, Inc. (NYSE:DTM)",28660777,BB+,BB+,DTM,NYSE,US23345M1071,United States and Canada,USA,US,Energy
DTE Energy Company (NYSE:DTE),4057044,BBB+,BBB+,DTE,NYSE,US2333311072,United States and Canada,USA,US,Utilities
Duke Energy Corporation (NYSE:DUK),4121470,BBB+,BBB+,DUK,NYSE,US26441C2044,United States and Canada,USA,US,Utilities
"Dun & Bradstreet Holdings, Inc. (NYSE:DNB)",4021861,B+,B+,DNB,NYSE,US26484T1060,United States and Canada,USA,US,Commercial and Professional Services
"DuPont de Nemours, Inc. (NYSE:DD)",4873611,BBB+,BBB+,DD,NYSE,US26614N1028,United States and Canada,USA,US,Materials
DXC Technology Company (NYSE:DXC),4024401,BBB-,BBB-,DXC,NYSE,US23355L1061,United States and Canada,USA,US,Software and Services
"DXP Enterprises, Inc. (NASDAQGS:DXPE)",4376766,B,B,DXPE,NASDAQGS,US2333774071,United States and Canada,USA,US,Capital Goods
"Dycom Industries, Inc. (NYSE:DY)",4295787,BB,BB,DY,NYSE,US2674751019,United States and Canada,USA,US,Capital Goods
Eagle Materials Inc. (NYSE:EXP),4144672,BBB,BBB,EXP,NYSE,US26969P1084,United States and Canada,USA,US,Materials
"East West Bancorp, Inc. (NASDAQGS:EWBC)",4040606,BBB,BBB,EWBC,NASDAQGS,US27579R1041,United States and Canada,USA,US,Banks
Eastman Chemical Company (NYSE:EMN),4022066,BBB,BBB,EMN,NYSE,US2774321002,United States and Canada,USA,US,Materials
Eastman Kodak Company (NYSE:KODK),105346,CCC+,CCC+,KODK,NYSE,US2774614067,United States and Canada,USA,US,Technology Hardware and Equipment
eBay Inc. (NASDAQGS:EBAY),4081627,BBB+,BBB+,EBAY,NASDAQGS,US2786421030,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
EchoStar Corporation (NASDAQGS:SATS),4190757,CCC+,CCC+,SATS,NASDAQGS,US2787681061,United States and Canada,USA,US,Media and Entertainment
Ecolab Inc. (NYSE:ECL),4051243,A-,A-,ECL,NYSE,US2788651006,United States and Canada,USA,US,Materials
Edgewell Personal Care Company (NYSE:EPC),4910590,BB,BB,EPC,NYSE,US28035Q1022,United States and Canada,USA,US,Household and Personal Products
Edison International (NYSE:EIX),4056943,BBB,BBB,EIX,NYSE,US2810201077,United States and Canada,USA,US,Utilities
Edwards Lifesciences Corporation (NYSE:EW),4812781,BBB,BBB,EW,NYSE,US28176E1082,United States and Canada,USA,US,Health Care Equipment and Services
Elanco Animal Health Incorporated (NYSE:ELAN),10971298,BB-,BB-,ELAN,NYSE,US28414H1032,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Electronic Arts Inc. (NASDAQGS:EA),4100183,BBB+,BBB+,EA,NASDAQGS,US2855121099,United States and Canada,USA,US,Media and Entertainment
Element Solutions Inc (NYSE:ESI),4594344,BB,BB,ESI,NYSE,US28618M1062,United States and Canada,USA,US,Materials
"Elevance Health, Inc. (NYSE:ELV)",4072364,,A,ELV,NYSE,US0367521038,United States and Canada,USA,US,Health Care Equipment and Services
Eli Lilly and Company (NYSE:LLY),4059821,A+,A+,LLY,NYSE,US5324571083,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Elme Communities (NYSE:ELME),103036,BBB,BBB,ELME,NYSE,US9396531017,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
Embecta Corp. (NASDAQGS:EMBC),101376177,B+,B+,EMBC,NASDAQGS,US29082K1051,United States and Canada,USA,US,Health Care Equipment and Services
"EMCOR Group, Inc. (NYSE:EME)",4279452,BBB-,BBB-,EME,NYSE,US29084Q1004,United States and Canada,USA,US,Capital Goods
Emergent BioSolutions Inc. (NYSE:EBS),4142766,B-,B-,EBS,NYSE,US29089Q1058,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Emerson Electric Co. (NYSE:EMR),4136907,A,A,EMR,NYSE,US2910111044,United States and Canada,USA,US,Capital Goods
"Enact Holdings, Inc. (NASDAQGS:ACT)",4405774,,BBB-,ACT,NASDAQGS,US29249E1091,United States and Canada,USA,US,Financial Services
Encompass Health Corporation (NYSE:EHC),4021543,BB-,BB-,EHC,NYSE,US29261A1007,United States and Canada,USA,US,Health Care Equipment and Services
