SP_ENTITY_NAME,SP_ENTITY_ID,RD_CREDIT_RATING_GLOBAL,RD_CREDIT_RATING_GLOBAL.1,SP_TICKER,SP_EXCHANGE,SP_ISIN,SP_GEOGRAPHY,SP_COUNTRY_NAME,SP_COUNTRY_CODE,IQ_INDUSTRY_GROUP
Ally Financial Inc. (NYSE:ALLY),102864,BBB-,BBB-,ALLY,NYSE,US02005N1000,United States and Canada,USA,US,Financial Services
"Alpha Metallurgical Resources, Inc. (NYSE:AMR)",4774297,B+,B+,AMR,NYSE,US0207641061,United States and Canada,USA,US,Materials
Alphabet Inc. (NASDAQGS:GOOGL),4633618,AA+,AA+,GOOGL,NASDAQGS,US02079K3059,United States and Canada,USA,US,Media and Entertainment
Alta Equipment Group Inc. (NYSE:ALTG),7278701,B,B,ALTG,NYSE,US02128L1061,United States and Canada,USA,US,Capital Goods
"Alteryx, Inc. (NYSE:AYX)",5069813,B-,B-,AYX,NYSE,US02156B1035,United States and Canada,USA,US,Software and Services
"Altice USA, Inc. (NYSE:ATUS)",4973976,B,B,ATUS,NYSE,US02156K1034,United States and Canada,USA,US,Media and Entertainment
"Altria Group, Inc. (NYSE:MO)",4087349,BBB,BBB,MO,NYSE,US02209S1033,United States and Canada,USA,US,"Food, Beverage and Tobacco"
"Amazon.com, Inc. (NASDAQGS:AMZN)",3001792,AA,AA,AMZN,NASDAQGS,US0231351067,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"AMC Entertainment Holdings, Inc. (NYSE:AMC)",4171292,CCC+,CCC+,AMC,NYSE,US00165C3025,United States and Canada,USA,US,Media and Entertainment
AMC Networks Inc. (NASDAQGS:AMCX),4149049,B+,B+,AMCX,NASDAQGS,US00164V1035,United States and Canada,USA,US,Media and Entertainment
Amdocs Limited (NASDAQGS:DOX),4103358,BBB,BBB,DOX,NASDAQGS,GB0022569080,United States and Canada,USA,US,Software and Services
Ameren Corporation (NYSE:AEE),4007308,BBB+,BBB+,AEE,NYSE,US0236081024,United States and Canada,USA,US,Utilities
American Airlines Group Inc. (NASDAQGS:AAL),4065191,B+,B+,AAL,NASDAQGS,US02376R1023,United States and Canada,USA,US,Transportation
"American Assets Trust, Inc. (NYSE:AAT)",4270741,BBB-,BBB-,AAT,NYSE,US0240131047,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"American Axle & Manufacturing Holdings, Inc. (NYSE:AXL)",4114240,BB-,BB-,AXL,NYSE,US0240611030,United States and Canada,USA,US,Automobiles and Components
"American Electric Power Company, Inc. (NASDAQGS:AEP)",4006321,A-,A-,AEP,NASDAQGS,US0255371017,United States and Canada,USA,US,Utilities
American Equity Investment Life Holding Company (NYSE:AEL),4047858,,BBB-,AEL,NYSE,US0256762065,United States and Canada,USA,US,Insurance
American Express Company (NYSE:AXP),102700,BBB+,BBB+,AXP,NYSE,US0258161092,United States and Canada,USA,US,Financial Services
"American Financial Group, Inc. (NYSE:AFG)",103424,,BBB+,AFG,NYSE,US0259321042,United States and Canada,USA,US,Insurance
American Homes 4 Rent (NYSE:AMH),4392539,BBB,BBB,AMH,NYSE,US02665T3068,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"American International Group, Inc. (NYSE:AIG)",103330,BBB+,BBB+,AIG,NYSE,US0268747849,United States and Canada,USA,US,Insurance
"American Public Education, Inc. (NASDAQGS:APEI)",4910604,B,B,APEI,NASDAQGS,US02913V1035,United States and Canada,USA,US,Consumer Services
American States Water Company (NYSE:AWR),4093614,A,A,AWR,NYSE,US0298991011,United States and Canada,USA,US,Utilities
American Tower Corporation (NYSE:AMT),4290489,BBB-,BBB-,AMT,NYSE,US03027X1000,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"American Water Works Company, Inc. (NYSE:AWK)",4004387,A,A,AWK,NYSE,US0304201033,United States and Canada,USA,US,Utilities
"Ameriprise Financial, Inc. (NYSE:AMP)",113901,,A-,AMP,NYSE,US03076C1062,United States and Canada,USA,US,Financial Services
"AMETEK, Inc. (NYSE:AME)",4107063,BBB+,BBB+,AME,NYSE,US0311001004,United States and Canada,USA,US,Capital Goods
Amgen Inc. (NASDAQGS:AMGN),4092820,BBB+,BBB+,AMGN,NASDAQGS,US0311621009,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
"Amkor Technology, Inc. (NASDAQGS:AMKR)",4164998,BB,BB,AMKR,NASDAQGS,US0316521006,United States and Canada,USA,US,Semiconductors and Semiconductor Equipment
"AMN Healthcare Services, Inc. (NYSE:AMN)",4074586,BB+,BB+,AMN,NYSE,US0017441017,United States and Canada,USA,US,Health Care Equipment and Services
"Amneal Pharmaceuticals, Inc. (NASDAQGS:AMRX)",5139125,B,B,AMRX,NASDAQGS,US03168L1052,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Amphenol Corporation (NYSE:APH),4122605,BBB+,BBB+,APH,NYSE,US0320951017,United States and Canada,USA,US,Technology Hardware and Equipment
"Analog Devices, Inc. (NASDAQGS:ADI)",4113211,A-,A-,ADI,NASDAQGS,US0326541051,United States and Canada,USA,US,Semiconductors and Semiconductor Equipment
Angi Inc. (NASDAQGS:ANGI),8624949,B,B,ANGI,NASDAQGS,US00183L1026,United States and Canada,USA,US,Media and Entertainment
AngloGold Ashanti plc (NYSE:AU),4209952,BB+,BB+,AU,NYSE,GB00BRXH2664,United States and Canada,USA,US,Materials
"ANI Pharmaceuticals, Inc. (NASDAQGM:ANIP)",4811734,B+,B+,ANIP,NASDAQGM,US00182C1036,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Antero Resources Corporation (NYSE:AR),4166271,BB+,BB+,AR,NYSE,US03674X1063,United States and Canada,USA,US,Energy
Apartment Income REIT Corp. (NYSE:AIRC),103180,BBB,BBB,AIRC,NYSE,US03750L1098,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
APi Group Corporation (NYSE:APG),8313471,BB-,BB-,APG,NYSE,US00187Y1001,United States and Canada,USA,US,Capital Goods
"Apollo Commercial Real Estate Finance, Inc. (NYSE:ARI)",4237285,B+,B+,ARI,NYSE,US03762U1051,United States and Canada,USA,US,Financial Services
"Apollo Global Management, Inc. (NYSE:APO)",4204256,A,A,APO,NYSE,US03769M1062,United States and Canada,USA,US,Financial Services
Apple Inc. (NASDAQGS:AAPL),4004205,AA+,AA+,AAPL,NASDAQGS,US0378331005,United States and Canada,USA,US,Technology Hardware and Equipment
"Applied Materials, Inc. (NASDAQGS:AMAT)",4073928,A,A,AMAT,NASDAQGS,US0382221051,United States and Canada,USA,US,Semiconductors and Semiconductor Equipment
AppLovin Corporation (NASDAQGS:APP),5256437,BB,BB,APP,NASDAQGS,US03831W1080,United States and Canada,USA,US,Software and Services
"AptarGroup, Inc. (NYSE:ATR)",4982603,BBB-,BBB-,ATR,NYSE,US0383361039,United States and Canada,USA,US,Materials
Aramark (NYSE:ARMK),4019141,BB,BB,ARMK,NYSE,US03852U1060,United States and Canada,USA,US,Consumer Services
"Arch Resources, Inc. (NYSE:ARCH)",4098789,B+,B+,ARCH,NYSE,US03940R1077,United States and Canada,USA,US,Materials
Archer-Daniels-Midland Company (NYSE:ADM),4044801,A,A,ADM,NYSE,US0394831020,United States and Canada,USA,US,"Food, Beverage and Tobacco"
"Archrock, Inc. (NYSE:AROC)",4121009,B+,B+,AROC,NYSE,US03957W1062,United States and Canada,USA,US,Energy
"Arcosa, Inc. (NYSE:ACA)",10660585,BB,BB,ACA,NYSE,US0396531008,United States and Canada,USA,US,Capital Goods
Ares Capital Corporation (NASDAQGS:ARCC),4092627,BBB-,BBB-,ARCC,NASDAQGS,US04010L1035,United States and Canada,USA,US,Financial Services
Ares Management Corporation (NYSE:ARES),4438507,BBB+,BBB+,ARES,NYSE,US03990B1017,United States and Canada,USA,US,Financial Services
"Aris Water Solutions, Inc. (NYSE:ARIS)",7690349,B+,B+,ARIS,NYSE,US04041L1061,United States and Canada,USA,US,Commercial and Professional Services
Arko Corp. (NASDAQCM:ARKO),4773424,B+,B+,ARKO,NASDAQCM,US0412421085,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"Array Technologies, Inc. (NASDAQGM:ARRY)",4260944,B+,B+,ARRY,NASDAQGM,US04271T1007,United States and Canada,USA,US,Capital Goods
"Arrow Electronics, Inc. (NYSE:ARW)",4066994,BBB-,BBB-,ARW,NYSE,US0427351004,United States and Canada,USA,US,Technology Hardware and Equipment
Arthur J. Gallagher & Co. (NYSE:AJG),103437,BBB,BBB,AJG,NYSE,US3635761097,United States and Canada,USA,US,Insurance
"Asbury Automotive Group, Inc. (NYSE:ABG)",4067004,BB+,BB+,ABG,NYSE,US0434361046,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
ASGN Incorporated (NYSE:ASGN),4588939,BB,BB,ASGN,NYSE,US00191U1025,United States and Canada,USA,US,Commercial and Professional Services
Ashland Inc. (NYSE:ASH),6675401,BB+,BB+,ASH,NYSE,US0441861046,United States and Canada,USA,US,Materials
Associated Banc-Corp (NYSE:ASB),100135,BBB-,BBB-,ASB,NYSE,US0454871056,United States and Canada,USA,US,Banks
"Assurant, Inc. (NYSE:AIZ)",4090153,,BBB,AIZ,NYSE,US04621X1081,United States and Canada,USA,US,Insurance
AT&T Inc. (NYSE:T),4024242,BBB,BBB,T,NYSE,US00206R1023,United States and Canada,USA,US,Telecommunication Services
ATI Inc. (NYSE:ATI),4121020,B+,B+,ATI,NYSE,US01741R1023,United States and Canada,USA,US,Materials
Atkore Inc. (NYSE:ATKR),4990903,BB+,BB+,ATKR,NYSE,US0476491081,United States and Canada,USA,US,Capital Goods
Atmos Energy Corporation (NYSE:ATO),4057157,A-,A-,ATO,NYSE,US0495601058,United States and Canada,USA,US,Utilities
"Autodesk, Inc. (NASDAQGS:ADSK)",4208149,BBB+,BBB+,ADSK,NASDAQGS,US0527691069,United States and Canada,USA,US,Software and Services
"Automatic Data Processing, Inc. (NASDAQGS:ADP)",1031164,AA-,AA-,ADP,NASDAQGS,US0530151036,United States and Canada,USA,US,Commercial and Professional Services
"AutoNation, Inc. (NYSE:AN)",4067051,BBB-,BBB-,AN,NYSE,US05329W1027,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"AutoZone, Inc. (NYSE:AZO)",4344582,BBB,BBB,AZO,NYSE,US0533321024,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"AvalonBay Communities, Inc. (NYSE:AVB)",103145,A-,A-,AVB,NYSE,US0534841012,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"Avangrid, Inc. (NYSE:AGR)",4057045,BBB+,BBB+,AGR,NYSE,US05351W1036,United States and Canada,USA,US,Utilities
"Avantor, Inc. (NYSE:AVTR)",8386692,BB+,BB+,AVTR,NYSE,US05352A1007,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Avery Dennison Corporation (NYSE:AVY),3001622,BBB,BBB,AVY,NYSE,US0536111091,United States and Canada,USA,US,Materials
Avient Corporation (NYSE:AVNT),4394651,BB,BB,AVNT,NYSE,US05368V1061,United States and Canada,USA,US,Materials
"Avis Budget Group, Inc. (NASDAQGS:CAR)",4007807,BB,BB,CAR,NASDAQGS,US0537741052,United States and Canada,USA,US,Transportation
Avista Corporation (NYSE:AVA),4057075,BBB,BBB,AVA,NYSE,US05379B1070,United States and Canada,USA,US,Utilities
"Avnet, Inc. (NASDAQGS:AVT)",4004310,BBB-,BBB-,AVT,NASDAQGS,US0538071038,United States and Canada,USA,US,Technology Hardware and Equipment
Axalta Coating Systems Ltd. (NYSE:AXTA),4985766,BB,BB,AXTA,NYSE,BMG0750C1082,United States and Canada,USA,US,Materials
AZZ Inc. (NYSE:AZZ),4384044,B,B,AZZ,NYSE,US0024741045,United States and Canada,USA,US,Capital Goods
"B&G Foods, Inc. (NYSE:BGS)",4067079,B-,B-,BGS,NYSE,US05508R1068,United States and Canada,USA,US,"Food, Beverage and Tobacco"
Baker Hughes Company (NASDAQGS:BKR),6893503,A-,A-,BKR,NASDAQGS,US05722G1004,United States and Canada,USA,US,Energy
Ball Corporation (NYSE:BALL),4014079,BB+,BB+,BALL,NYSE,US0584981064,United States and Canada,USA,US,Materials
Bally's Corporation (NYSE:BALY),6630538,B,B,BALY,NYSE,US05875B1061,United States and Canada,USA,US,Consumer Services
Bank of America Corporation (NYSE:BAC),100369,A-,A-,BAC,NYSE,US0605051046,United States and Canada,USA,US,Banks
Barnes Group Inc. (NYSE:B),4992370,BB,BB,B,NYSE,US0678061096,United States and Canada,USA,US,Capital Goods
"Bath & Body Works, Inc. (NYSE:BBWI)",4069317,BB,BB,BBWI,NYSE,US0708301041,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
Baxter International Inc. (NYSE:BAX),4081442,BBB,BBB,BAX,NYSE,US0718131099,United States and Canada,USA,US,Health Care Equipment and Services
"Beacon Roofing Supply, Inc. (NASDAQGS:BECN)",4988905,BB-,BB-,BECN,NASDAQGS,US0736851090,United States and Canada,USA,US,Capital Goods
"Beasley Broadcast Group, Inc. (NASDAQGM:BBGI)",4121707,CCC+,CCC+,BBGI,NASDAQGM,US0740141017,United States and Canada,USA,US,Media and Entertainment
"Beazer Homes USA, Inc. (NYSE:BZH)",4089273,B+,B+,BZH,NYSE,US07556Q8814,United States and Canada,USA,US,Consumer Durables and Apparel
"Becton, Dickinson and Company (NYSE:BDX)",4133271,BBB,BBB,BDX,NYSE,US0758871091,United States and Canada,USA,US,Health Care Equipment and Services
Belden Inc. (NYSE:BDC),4198848,BB,BB,BDC,NYSE,US0774541066,United States and Canada,USA,US,Technology Hardware and Equipment
"BellRing Brands, Inc. (NYSE:BRBR)",19070340,B+,B+,BRBR,NYSE,US07831C1036,United States and Canada,USA,US,Household and Personal Products
Berkshire Hathaway Inc. (NYSE:BRK.A),103462,AA,AA,BRKA,NYSE,US0846701086,United States and Canada,USA,US,Financial Services
Berry Corporation (NASDAQGS:BRY),4010413,B-,B-,BRY,NASDAQGS,US08579X1019,United States and Canada,USA,US,Energy
"Berry Global Group, Inc. (NYSE:BERY)",4635041,BB+,BB+,BERY,NYSE,US08579W1036,United States and Canada,USA,US,Materials
"Best Buy Co., Inc. (NYSE:BBY)",4095864,BBB+,BBB+,BBY,NYSE,US0865161014,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"BGC Group, Inc. (NASDAQGS:BGC)",4051608,BBB-,BBB-,BGC,NASDAQGS,US0889291045,United States and Canada,USA,US,Financial Services
Biogen Inc. (NASDAQGS:BIIB),4152157,BBB+,BBB+,BIIB,NASDAQGS,US09062X1037,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
"Bio-Rad Laboratories, Inc. (NYSE:BIO)",4098629,BBB,BBB,BIO,NYSE,US0905722072,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
"BJ's Wholesale Club Holdings, Inc. (NYSE:BJ)",8648705,BB+,BB+,BJ,NYSE,US05550J1016,United States and Canada,USA,US,Consumer Staples Distribution and Retail
Black Hills Corporation (NYSE:BKH),4010420,BBB+,BBB+,BKH,NYSE,US0921131092,United States and Canada,USA,US,Utilities
"BlackRock, Inc. (NYSE:BLK)",4048287,AA-,AA-,BLK,NYSE,US09247X1019,United States and Canada,USA,US,Financial Services
Blackstone Inc. (NYSE:BX),4157397,A+,A+,BX,NYSE,US09260D1072,United States and Canada,USA,US,Financial Services
"Blackstone Mortgage Trust, Inc. (NYSE:BXMT)",4087691,BB-,BB-,BXMT,NYSE,US09257W1009,United States and Canada,USA,US,Financial Services
Blackstone Secured Lending Fund (NYSE:BXSL),11221175,BBB-,BBB-,BXSL,NYSE,US09261X1028,United States and Canada,USA,US,Financial Services
"Block, Inc. (NYSE:SQ)",4340737,BB+,BB+,SQ,NYSE,US8522341036,United States and Canada,USA,US,Financial Services
"Bloomin' Brands, Inc. (NASDAQGS:BLMN)",4916268,BB-,BB-,BLMN,NASDAQGS,US0942351083,United States and Canada,USA,US,Consumer Services
Blue Owl Capital Corporation (NYSE:OBDC),4668398,BBB-,BBB-,OBDC,NYSE,US69121K1043,United States and Canada,USA,US,Financial Services
Blue Owl Capital Inc. (NYSE:OWL),28978057,BBB,BBB,OWL,NYSE,US09581B1035,United States and Canada,USA,US,Financial Services
BlueLinx Holdings Inc. (NYSE:BXC),4542251,B+,B+,BXC,NYSE,US09624H2085,United States and Canada,USA,US,Capital Goods
Boise Cascade Company (NYSE:BCC),4096031,BB-,BB-,BCC,NYSE,US09739D1000,United States and Canada,USA,US,Capital Goods
BOK Financial Corporation (NASDAQGS:BOKF),100003,BBB+,BBB+,BOKF,NASDAQGS,US05561Q2012,United States and Canada,USA,US,Banks
Booking Holdings Inc. (NASDAQGS:BKNG),4122589,A-,A-,BKNG,NASDAQGS,US09857L1089,United States and Canada,USA,US,Consumer Services
BorgWarner Inc. (NYSE:BWA),4910640,BBB,BBB,BWA,NYSE,US0997241064,United States and Canada,USA,US,Automobiles and Components
"Boston Properties, Inc. (NYSE:BXP)",112885,BBB,BBB,BXP,NYSE,US1011211018,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
Boston Scientific Corporation (NYSE:BSX),4810597,BBB+,BBB+,BSX,NYSE,US1011371077,United States and Canada,USA,US,Health Care Equipment and Services
Bowlero Corp. (NYSE:BOWL),4092339,B,B,BOWL,NYSE,US10258P1021,United States and Canada,USA,US,Consumer Services
Boyd Gaming Corporation (NYSE:BYD),4006418,BB,BB,BYD,NYSE,US1033041013,United States and Canada,USA,US,Consumer Services
Brandywine Realty Trust (NYSE:BDN),103209,BB,BB,BDN,NYSE,US1053682035,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"Bread Financial Holdings, Inc. (NYSE:BFH)",4038577,BB-,BB-,BFH,NYSE,US0185811082,United States and Canada,USA,US,Financial Services
